   SAO; m(vis); RA(deg); DEC(deg); RAchange(deg/yr); DECchange(deg/yr)
143;5.5;13.7202339;83.70744664;0.0001449;-0.00000556
181;4.5;17.18662693;86.25709485;0.00033054;-0.00000361
308;2.1;37.95297627;89.26409875;0.00084504;-0.00000444
344;6;32.35507004;81.29590939;-0.00007182;0.00000111
433;5.9;41.94821527;81.44854598;0.00001596;-0.00002028
500;6;47.92609235;81.47064841;-0.000105;-0.00000194
550;5.8;53.08387287;84.91110822;0.00019824;-0.0000375
623;5.8;62.50681405;86.6260947;0.00067284;-0.000025
650;5.3;62.51149741;80.69858177;-0.00002982;-0.00000083
685;5.4;67.05398635;83.80779394;-0.00003738;0.00000278
691;5.6;66.7609361;80.82409854;0.00000546;-0.00000667
693;5.7;67.50034069;83.34050773;-0.00013272;0.00002917
783;5.3;75.0853896;81.19408731;-0.00001176;0.0000075
1168;5.3;115.1282829;87.02017292;-0.00023268;-0.00000778
1179;5.1;112.7685319;82.41159327;-0.00001176;-0.00001083
1551;4.6;144.2719348;81.32648473;-0.00003402;-0.00000361
1701;5.6;157.4229315;84.25222199;-0.00035994;-0.00000889
1714;5.3;157.7689941;82.55868247;-0.00018102;0.00000889
2101;5.8;192.2775732;83.41794644;-0.00006468;0.00000611
2102;5.3;192.3065523;83.41291014;-0.00007224;0.00000556
2459;5.7;222.5851715;82.51196577;0.00037968;-0.00006194
2770;4.4;251.4922731;82.03734054;0.0000336;0.00000167
2859;5.9;259.9046304;80.13651456;0.00003024;0.00000139
2937;4.4;263.0541897;86.58654513;0.00004536;0.00001583
2940;5.9;262.7000937;86.96808932;0.00030996;0.00000278
3408;5.6;307.0599888;81.42274854;0.00005124;0.00000444
3458;5.7;310.6467071;82.53124638;0.00006048;0.00000667
3467;5.6;311.889245;80.55229012;-0.00005334;-0.00001028
3534;6;318.3399763;81.2308821;-0.00000714;-0.00000028
3721;5.4;333.2945233;86.10797222;0.0002163;0.00001222
3794;5;341.8707557;83.15392968;0.0000483;0.00001361
3816;5;343.6031103;84.34631372;0.00025956;0.00000778
3916;5.6;351.7547258;87.30748672;0.00045906;0.00000417
4216;5.6;11.41265013;74.98803773;-0.00001974;-0.00000722
4226;5.4;11.94207937;74.84755186;0.00001638;-0.0000025
4229;6;12.03795014;72.67488711;0.00012264;0.00000667
4341;5.7;18.06956037;79.67403948;0.0001407;-0.00000111
4422;6;22.80735408;70.2646138;0.00011382;-0.00002139
4453;5.5;24.62881735;73.04003439;-0.00001218;-0.00000444
4470;5.3;25.73288851;70.62261973;0.0000651;-0.00000361
4554;4.6;30.48903178;70.90706702;-0.00005754;0.00000111
4560;4.1;30.85875699;72.42135377;-0.00004116;0.00000639
4562;5.4;31.28002379;77.2812666;0.00015204;-0.00001639
4565;5.3;31.38006111;76.11513263;-0.00002562;-0.00000583
4694;5.3;39.50828509;72.81833459;-0.00002982;0.00000472
4810;5.7;46.53220013;79.41853688;-0.00006174;0.00000222
4840;4.9;47.98459652;74.39362933;0.00001428;-0.00002528
4875;5.5;50.08241348;77.73479723;0.00007896;-0.00001694
5000;5.4;57.30767054;70.87108641;0.00002058;-0.00001806
5006;4.7;57.58965813;71.33230327;0.00001512;-0.00001167
5238;6;68.37782873;72.52885673;0.00002688;-0.00002305
5309;6;72.20971339;75.94122441;0.0000399;-0.0000375
5407;6;76.16603136;74.06704842;0.00001344;-0.00000444
5455;5.4;78.0938322;73.94658744;0.00000336;-0.00000944
5483;5.8;79.55541998;73.26801781;-0.00000504;-0.00000917
5496;5.2;80.63958314;79.23115612;-0.00012138;0.00004444
5861;6;97.06065969;70.53561663;0.00000168;0.00000639
5919;5.9;100.1202652;77.99596983;0.0000168;0
5946;5.6;101.5586905;79.56482852;-0.0001575;-0.00016777
6022;4.8;105.0167253;76.97743041;0.00008862;-0.00000389
6041;5.8;105.3398168;70.80818651;0.00001512;-0.00000528
6378;5.6;120.0488095;73.91797392;-0.00001008;-0.00001028
6392;5.3;121.1962015;79.47974254;-0.0000483;-0.00001361
6487;5.7;124.8842238;75.75694908;0.00003318;0.00000444
6792;5.9;138.9693208;72.94620678;-0.00008106;-0.0000175
6897;4.6;143.6204139;69.83041935;-0.00005082;0.00002194
6898;5.8;143.7233098;72.20560357;0.0000693;-0.00002139
6936;5.4;145.7383606;72.25260388;-0.0000231;-0.00000778
7009;6;149.5950286;72.87947036;-0.00007182;-0.00001056
7164;5;158.7731024;75.71296883;-0.00003402;-0.00000083
7500;6;181.3131481;76.90568862;0.00018228;-0.00002583
7522;5.1;183.0497236;77.61628603;0.0000126;0.00000611
7532;5.9;183.7855283;70.2002139;-0.00001932;-0.00000583
7540;5.4;184.7087745;75.160627;-0.0000357;0.00000194
7593;3.9;188.3707926;69.78825824;-0.0000462;0.00000333
7600;5.2;188.6833464;70.02183603;-0.00002646;0
7821;5.9;201.7379388;78.64374182;-0.0001932;0.00000806
7854;5.7;204.2957523;71.24227553;-0.0000336;-0.00000139
7958;5;212.2122425;77.54749726;-0.00004032;0.00000917
8024;4.4;216.8814233;75.69601901;0.00000966;0.00000639
8102;2.2;222.676642;74.1555097;-0.00003066;0.00000333
8207;5.1;229.274836;71.82390639;0.0000063;0.00000306
